"","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED_Wheat White","CEREALS UNMILLED_Wheat Mixed","CEREALS UNMILLED_Wheat Black (Red)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","BREAD AND OTHER PREPARED FOODS_Bread Wheat (Bakery)","P R I C E   I N    B I R R_Malt-Wheat"
"1","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","BREAD AND OTHER PREPARED FOODS","P R I C E   I N    B I R R"
"2","ADDIS","addis ababa","AUGUST","2014","38.793806","9.023748","11.915",NA,"12",NA,NA,"4.35","24.8"
"3","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","BREAD AND OTHER PREPARED FOODS","P R I C E   I N    B I R R"
"4","ADDIS","addis ababa","AUGUST","2014","38.793806","9.023748","11.915",NA,"12",NA,NA,"4.35","24.8"
"5","ADDIS","addis ababa","DECEMBER","2014","38.793806","9.023748","12.16",NA,"13.745","14.6",NA,"4.305","23.555"
"6","ADDIS","addis ababa","FEBRUARY","2015","38.793806","9.023748","12","9","14",NA,NA,"4.24","22.925"
"7","ADDIS","addis ababa","JANUARY","2015","38.793806","9.023748","12.365","12","13.83",NA,NA,"4.225","24.26"
"8","ADDIS","addis ababa","JULY","2014","38.793806","9.023748","11.66",NA,"12.24",NA,NA,"4.25","22.14"
"9","ADDIS","addis ababa","JUNE","2015","38.793806","9.023748","12.32",NA,"14",NA,NA,"4.4","28.415"
"10","ADDIS","addis ababa","MARCH","2015","38.793806","9.023748","11.915","10.5","14",NA,NA,"4.29","21.605"
"11","ADDIS","addis ababa","MAY","2015","38.793806","9.023748","12",NA,"13.83",NA,NA,"4.325","25.925"
"12","ADDIS","addis ababa","NOVEMBER","2014","38.793806","9.023748","12.08",NA,"13.075",NA,NA,"4.425","24.955"
"13","ADDIS","addis ababa","OCTOBER","2014","38.793806","9.023748","12",NA,"12.985",NA,NA,"4.275","27.64"
"14","ADDIS","addis ababa","OCTOBER.doc","2014.doc","38.793806","9.023748","12",NA,"13.99",NA,NA,"4.285","24.75"
"15","ADDIS","addis ababa","SEPTEMBER","2014","38.793806","9.023748","12",NA,"12.985",NA,NA,"4.2","28.39"
"16","AMHARA","Chuahit","AUGUST","2014","39.311961","10.643157","10.00","-","-","-","-","4.43","-"
"17","AMHARA","Gondar","AUGUST","2014","37.46149667","12.59878688","11.00","-","9.00","-","-","4.53","15.00"
"18","AMHARA","Esete","AUGUST","2014","37.88657423","10.92298692","9.07","-","7.43","-","-","4.12","12.28"
"19","AMHARA","Debre- Tabor ","AUGUST","2014","38.00833967","11.84769551","11.70","-","8.44","-","-","5.22","15.87"
"20","AMHARA","Kobo","AUGUST","2014","39.63127424","12.16406542","9.74","-","11.39","-","-","4.53","-"
"21","AMHARA","Weldiya","AUGUST","2014","39.6014117","11.82360232","10.90","-","10.98","-","-","3.83","14.52"
"22","AMHARA","Kombolcha","AUGUST","2014","39.73724188","11.07807805","9.02","-","11.27","-","-","4.13","-"
"23","AMHARA","Dessie","AUGUST","2014","39.63548793","11.11703902","9.39","8.77","10.47","16.00","-","3.85","-"
"24","AMHARA","Shewa- Robit ","AUGUST","2014","39.90269733","10.00580856","10.95","-","-","-","-","5.34","-"
"25","AMHARA","Debre-¦","AUGUST","2014","39.52890047","9.67650294","10.00","9.43","-","-","-","5.41","-"
"26","AMHARA","Chuahit","DECEMBER","2014","39.311961","10.643157","10.00","-","-","-","-","4.41","-"
"27","AMHARA","Gondar","DECEMBER","2014","37.46149667","12.59878688","10.33","-","-","-","-","4.53","15.00"
"28","AMHARA","Esete","DECEMBER","2014","37.88657423","10.92298692","8.51","-","7.40","-","-","3.65","12.87"
"29","AMHARA","Debre- Tabor ","DECEMBER","2014","38.00833967","11.84769551","10.89","-","9.03","-","-","4.48","-"
"30","AMHARA","Kobo","DECEMBER","2014","39.63127424","12.16406542","10.05","-","14.65","-","-","4.53","-"
"31","AMHARA","Weldiya","DECEMBER","2014","39.6014117","11.82360232","9.63","-","10.59","-","-","4.12","14.52"
"32","AMHARA","Kombolcha","DECEMBER","2014","39.73724188","11.07807805","8.29","8.53","11.85","-","-","4.93","26.95"
"33","AMHARA","Dessie","DECEMBER","2014","39.63548793","11.11703902","8.37","7.79","10.57","16.00","-","3.85","-"
"34","AMHARA","Shewa- Robit ","DECEMBER","2014","39.90269733","10.00580856","9.64","-","-","-","-","5.36","-"
"35","AMHARA","Debre-¦","DECEMBER","2014","39.52890047","9.67650294","10.00","9.56","-","-","-","4.38","-"
"36","AMHARA","Chuahit","FEBRUARY","2015","39.311961","10.643157","10.00","-","8.00","-","-","4.39","-"
"37","AMHARA","Gondar","FEBRUARY","2015","37.46149667","12.59878688","9.66","-","-","-","-","4.69","15.00"
"38","AMHARA","Esete","FEBRUARY","2015","37.88657423","10.92298692","8.34","-","7.73","-","-","3.79","10.43"
"39","AMHARA","Debre- Tabor ","FEBRUARY","2015","38.00833967","11.84769551","10.69","-","8.35","-","-","3.92","-"
"40","AMHARA","Kobo","FEBRUARY","2015","39.63127424","12.16406542","10.00","-","9.58","-","-","4.53","-"
"41","AMHARA","Weldiya","FEBRUARY","2015","39.6014117","11.82360232","9.63","-","9.95","-","-","4.38","16.94"
"42","AMHARA","Kombolcha","FEBRUARY","2015","39.73724188","11.07807805","8.49","8.27","10.66","-","-","4.80","20.29"
"43","AMHARA","Dessie","FEBRUARY","2015","39.63548793","11.11703902","8.39","7.71","13.00","16.00","-","3.85","35.10"
"44","AMHARA","Shewa- Robit ","FEBRUARY","2015","39.90269733","10.00580856","11.94","-","12.37","-","-","5.36","-"
"45","AMHARA","Debre-¦","FEBRUARY","2015","39.52890047","9.67650294","9.49","8.65","-","-","-","4.84","-"
"46","AMHARA","Chuahit","JANUARY","2015","39.311961","10.643157","10.00","-","-","-","-","4.43","-"
"47","AMHARA","Gondar","JANUARY","2015","37.46149667","12.59878688","9.83","-","-","-","-","4.53","15.00"
"48","AMHARA","Esete","JANUARY","2015","37.88657423","10.92298692","8.23","-","7.48","-","-","4.00","9.93"
"49","AMHARA","Debre- Tabor ","JANUARY","2015","38.00833967","11.84769551","10.59","-","7.44","-","-","4.52","17.59"
"50","AMHARA","Kobo","JANUARY","2015","39.63127424","12.16406542","9.61","-","11.33","-","-","4.53","-"
"51","AMHARA","Weldiya","JANUARY","2015","39.6014117","11.82360232","9.63","-","10.61","-","-","4.38","20.02"
"52","AMHARA","Kombolcha","JANUARY","2015","39.73724188","11.07807805","8.42","7.83","12.32","-","-","4.21","23.94"
"53","AMHARA","Dessie","JANUARY","2015","39.63548793","11.11703902","9.15","8.68","10.39","16.00","-","3.85","-"
"54","AMHARA","Shewa- Robit ","JANUARY","2015","39.90269733","10.00580856","12.31","-","12.37","-","-","5.47","-"
"55","AMHARA","Debre-¦","JANUARY","2015","39.52890047","9.67650294","10.00","9.57","-","-","-","4.94","-"
"56","AMHARA","Chuahit","JULY","2014","39.311961","10.643157","10.00","-","10.00","-","-","4.50","-"
"57","AMHARA","Gondar","JULY","2014","37.46149667","12.59878688","11.00","-","8.00","-","-","4.53","15.00"
"58","AMHARA","Esete","JULY","2014","37.88657423","10.92298692","9.15","-","7.21","-","-","3.74","11.44"
"59","AMHARA","Debre- Tabor ","JULY","2014","38.00833967","11.84769551","11.05","-","10.52","-","-","4.48","21.43"
"60","AMHARA","Kobo","JULY","2014","39.63127424","12.16406542","8.91","-","11.38","-","-","4.69","-"
"61","AMHARA","Weldiya","JULY","2014","39.6014117","11.82360232","9.80","-","10.06","-","-","4.01","14.52"
"62","AMHARA","Kombolcha","JULY","2014","39.73724188","11.07807805","8.08","-","11.49","-","-","3.76","33.97"
"63","AMHARA","Dessie","JULY","2014","39.63548793","11.11703902","9.08","8.04","10.57","15.00","-","3.85","30.34"
"64","AMHARA","Shewa- Robit ","JULY","2014","39.90269733","10.00580856","10.83","-","-","-","-","5.45","-"
"65","AMHARA","Debre-¦","JULY","2014","39.52890047","9.67650294","10.00","9.43","-","-","-","5.55","-"
"66","AMHARA","Chuahit","JUNE","2015","39.311961","10.643157","10.00","-","-","-","-","4.39","-"
"67","AMHARA","Gondar","JUNE","2015","37.46149667","12.59878688","10.00","-","-","-","-","4.53","15.00"
"68","AMHARA","Esete","JUNE","2015","37.88657423","10.92298692","9.78","-","7.64","-","-","4.23","13.52"
"69","AMHARA","Debre- Tabor ","JUNE","2015","38.00833967","11.84769551","11.94","-","9.98","-","-","3.35","11.73"
"70","AMHARA","Kobo","JUNE","2015","39.63127424","12.16406542","10.05","-","11.34","-","-","4.53","-"
"71","AMHARA","Weldiya","JUNE","2015","39.6014117","11.82360232","9.87","-","10.33","-","-","4.38","24.20"
"72","AMHARA","Kombolcha","JUNE","2015","39.73724188","11.07807805","9.71","-","11.36","-","-","4.47","33.97"
"73","AMHARA","Dessie","JUNE","2015","39.63548793","11.11703902","8.93","8.27","10.39","16.00","-","3.85","37.81"
"74","AMHARA","Shewa- Robit ","JUNE","2015","39.90269733","10.00580856","-","11.79","-","-","-","5.23","-"
"75","AMHARA","Debre-¦","JUNE","2015","39.52890047","9.67650294","10.50","9.86","-","-","-","4.93","-"
"76","AMHARA","Chuahit","MARCH","2015","39.311961","10.643157","9.65","-","-","-","-","4.45","-"
"77","AMHARA","Gondar","MARCH","2015","37.46149667","12.59878688","10.16","-","-","-","-","4.53","15.00"
"78","AMHARA","Esete","MARCH","2015","37.88657423","10.92298692","8.22","-","7.53","-","-","4.00","10.81"
"79","AMHARA","Debre- Tabor ","MARCH","2015","38.00833967","11.84769551","12.74","-","8.15","-","-","3.82","12.01"
"80","AMHARA","Kobo","MARCH","2015","39.63127424","12.16406542","9.27","-","9.87","-","-","4.88","-"
"81","AMHARA","Weldiya","MARCH","2015","39.6014117","11.82360232","9.53","-","10.08","-","-","4.38","15.29"
"82","AMHARA","Kombolcha","MARCH","2015","39.73724188","11.07807805","8.46","8.24","11.08","-","-","4.32","19.83"
"83","AMHARA","Dessie","MARCH","2015","39.63548793","11.11703902","8.60","7.75","11.56","16.00","-","3.85","34.29"
"84","AMHARA","Shewa- Robit ","MARCH","2015","39.90269733","10.00580856","11.95","-","11.96","-","-","5.43","-"
