"","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED_Barley White","CEREALS UNMILLED_Barley Mixed","CEREALS UNMILLED_Barley Black","CEREALS UNMILLED_Barley for Beer","CEREALS UNMILLED_Hulled Barley","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","P R I C E   I N    B I R R_Malt-Barley"
"1","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","P R I C E   I N    B I R R"
"2","ADDIS","addis ababa","April","2016","38.793806","9.023748","13","10.825","12","13","21.5",NA,NA,"32.375"
"3","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","P R I C E   I N    B I R R"
"4","ADDIS","addis ababa","April","2016","38.793806","9.023748","13","10.825","12","13","21.5",NA,NA,"32.375"
"5","ADDIS","addis ababa","AUGUST","2015","38.793806","9.023748","13","11.295","12","13","21.5",NA,NA,"30.805"
"6","ADDIS","addis ababa","DECEMBER","2015","38.793806","9.023748","13.08","11","12.38","13","18",NA,NA,"30.825"
"7","ADDIS","addis ababa","February","2016","38.793806","9.023748","12.83","11","12.08","13","20",NA,NA,"33.275"
"8","ADDIS","addis ababa","JANUARY","2016","38.793806","9.023748","13","11","12.16","13","20",NA,NA,"31.36"
"9","ADDIS","addis ababa","JULY","2015","38.793806","9.023748","13","11.49","12","13","20",NA,NA,"31.25"
"10","ADDIS","addis ababa","June","2016","38.793806","9.023748","13.485","12","12.24","13",NA,NA,NA,"32.06"
"11","ADDIS","addis ababa","March","2016","38.793806","9.023748","12.83","10","12","12.32","16",NA,NA,"30.3"
"12","ADDIS","addis ababa","May","2016","38.793806","9.023748","13","11.16","12.49","12.985","25",NA,NA,"31.29"
"13","ADDIS","addis ababa","NOVEMBER","2015","38.793806","9.023748","13","12","12.16","13","23.66",NA,NA,"32"
"14","ADDIS","addis ababa","October","2015","38.793806","9.023748","12.985","11.875","12","13","29",NA,NA,"32.095"
"15","ADDIS","addis ababa","September","2015","38.793806","9.023748","13.165","11.29","12.075","13","18.97",NA,NA,"32.505"
"16","AMHARA","Chuahit","April","2016","39.311961","10.643157","-","7.00","-","-","-","-","-","13.67"
"17","AMHARA","Gondar","April","2016","37.46149667","12.59878688","10.66","-","-","-","16.00","-","-","14.00"
"18","AMHARA","Esete","April","2016","37.88657423","10.92298692","7.69","7.76","5.92","12.07","14.64","-","-","11.47"
"19","AMHARA","Debre- Tabor ","April","2016","38.00833967","11.84769551","-","7.99","8.70","9.95","16.98","-","-","14.98"
"20","AMHARA","Kobo","April","2016","39.63127424","12.16406542","10.00","-","-","-","-","-","-","16.00"
"21","AMHARA","Weldiya","April","2016","39.6014117","11.82360232","12.04","9.00","9.09","-","11.36","-","-","15.81"
"22","AMHARA","Kombolcha","April","2016","39.73724188","11.07807805","11.24","10.03","9.24","-","32.93","-","-","40.40"
"23","AMHARA","Dessie","April","2016","39.63548793","11.11703902","7.35","7.23","-","-","22.95","-","-","18.40"
"24","AMHARA","Shewa- Robit ","April","2016","39.90269733","10.00580856","8.99","-","9.09","12.32","-","-","-","13.71"
"25","AMHARA","Debre-¦","April","2016","39.52890047","9.67650294","7.32","5.83","-","10.32","-","-","-","15.35"
"26","AMHARA","Chuahit","AUGUST","2015","39.311961","10.643157","-","8.00","-","-","-","-","-","13.60"
"27","AMHARA","Gondar","AUGUST","2015","37.46149667","12.59878688","11.16","-","-","-","17.83","-","-","-"
"28","AMHARA","Esete","AUGUST","2015","37.88657423","10.92298692","9.40","9.41","7.52","13.46","16.23","-","-","12.16"
"29","AMHARA","Debre- Tabor ","AUGUST","2015","38.00833967","11.84769551","-","10.40","10.92","-","16.03","-","-","11.90"
"30","AMHARA","Kobo","AUGUST","2015","39.63127424","12.16406542","12.50","11.43","-","-","-","-","-","21.15"
"31","AMHARA","Weldiya","AUGUST","2015","39.6014117","11.82360232","14.33","10.22","8.50","-","18.34","-","-","16.69"
"32","AMHARA","Kombolcha","AUGUST","2015","39.73724188","11.07807805","12.74","10.10","10.02","-","34.90","-","-","42.02"
"33","AMHARA","Dessie","AUGUST","2015","39.63548793","11.11703902","10.06","9.79","-","-","-","-","-","15.95"
"34","AMHARA","Shewa- Robit ","AUGUST","2015","39.90269733","10.00580856","11.24","-","-","12.51","35.71","-","-","16.44"
"35","AMHARA","Debre-¦","AUGUST","2015","39.52890047","9.67650294","8.50","7.33","-","10.49","13.51","-","-","23.45"
"36","AMHARA","Chuahit","DECEMBER","2015","39.311961","10.643157","-","6.00","-","-","-","-","-","-"
"37","AMHARA","Gondar","DECEMBER","2015","37.46149667","12.59878688","8.83","-","-","-","18.00","-","-","-"
"38","AMHARA","Esete","DECEMBER","2015","37.88657423","10.92298692","8.69","8.62","7.02","9.85","16.04","-","-","11.11"
"39","AMHARA","Debre- Tabor ","DECEMBER","2015","38.00833967","11.84769551","-","6.90","6.75","11.37","16.14","-","-","11.75"
"40","AMHARA","Kobo","DECEMBER","2015","39.63127424","12.16406542","10.63","-","-","-","-","-","-","27.89"
"41","AMHARA","Weldiya","DECEMBER","2015","39.6014117","11.82360232","11.97","9.93","9.09","-","17.30","-","-","15.81"
"42","AMHARA","Kombolcha","DECEMBER","2015","39.73724188","11.07807805","11.34","9.22","8.73","-","-","-","-","37.59"
"43","AMHARA","Dessie","DECEMBER","2015","39.63548793","11.11703902","8.83","8.00","-","-","22.24","-","-","18.40"
"44","AMHARA","Shewa- Robit ","DECEMBER","2015","39.90269733","10.00580856","10.24","-","10.39","11.99","-","-","-","12.99"
"45","AMHARA","Debre-¦","DECEMBER","2015","39.52890047","9.67650294","8.50","6.83","-","-","-","-","-","22.99"
"46","AMHARA","Chuahit","February","2016","39.311961","10.643157","-","6.00","-","-","-","-","-","11.76"
"47","AMHARA","Gondar","February","2016","37.46149667","12.59878688","10.83","-","-","-","17.66","-","-","-"
"48","AMHARA","Esete","February","2016","37.88657423","10.92298692","8.39","8.46","6.79","10.21","16.74","-","-","11.25"
"49","AMHARA","Debre- Tabor ","February","2016","38.00833967","11.84769551","-","8.65","8.76","-","16.16","-","-","9.61"
"50","AMHARA","Kobo","February","2016","39.63127424","12.16406542","12.42","-","-","-","-","-","-","19.86"
"51","AMHARA","Weldiya","February","2016","39.6014117","11.82360232","11.75","9.56","9.09","-","16.14","-","-","15.81"
"52","AMHARA","Kombolcha","February","2016","39.73724188","11.07807805","12.20","10.27","9.42","-","32.99","-","-","39.64"
"53","AMHARA","Dessie","February","2016","39.63548793","11.11703902","10.00","9.60","-","-","21.47","-","-","15.04"
"54","AMHARA","Shewa- Robit ","February","2016","39.90269733","10.00580856","10.12","-","10.02","13.20","23.33","-","-","11.49"
"55","AMHARA","Debre-¦","February","2016","39.52890047","9.67650294","7.66","6.48","7.00","10.63","-","-","-","24.59"
"56","AMHARA","Chuahit","JANUARY","2016","39.311961","10.643157","-","6.00","-","-","-","-","-","12.16"
"57","AMHARA","Gondar","JANUARY","2016","37.46149667","12.59878688","11.00","-","-","-","17.66","-","-","-"
"58","AMHARA","Esete","JANUARY","2016","37.88657423","10.92298692","7.53","7.54","6.87","9.55","15.87","-","-","11.86"
"59","AMHARA","Debre- Tabor ","JANUARY","2016","38.00833967","11.84769551","7.15","8.66","8.79","-","16.02","-","-","9.29"
"60","AMHARA","Kobo","JANUARY","2016","39.63127424","12.16406542","11.53","-","-","-","-","-","-","26.93"
"61","AMHARA","Weldiya","JANUARY","2016","39.6014117","11.82360232","11.79","9.03","9.12","-","15.64","-","-","15.81"
"62","AMHARA","Kombolcha","JANUARY","2016","39.73724188","11.07807805","12.17","10.02","9.33","-","34.49","-","-","-"
"63","AMHARA","Dessie","JANUARY","2016","39.63548793","11.11703902","11.51","10.49","-","-","22.45","-","-","14.81"
"64","AMHARA","Shewa- Robit ","JANUARY","2016","39.90269733","10.00580856","10.35","-","12.45","12.45","33.33","-","-","14.31"
"65","AMHARA","Debre-¦","JANUARY","2016","39.52890047","9.67650294","8.00","7.50","-","11.50","14.27","-","-","24.10"
"66","AMHARA","Chuahit","JULY","2015","39.311961","10.643157","-","8.00","-","-","-","-","-","13.55"
"67","AMHARA","Gondar","JULY","2015","37.46149667","12.59878688","11.66","-","-","-","15.66","-","-","14.00"
