"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley","CEREALS UNMILLED_Barley White","CEREALS UNMILLED_Barley Mixed","CEREALS UNMILLED_Barley Black","CEREALS UNMILLED_Barley for Beer","CEREALS UNMILLED_Hulled Barley","P R I C E   I N    B I R R_Malt-Barley"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","P R I C E   I N    B I R R","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA",NA,NA,NA,NA,NA,NA
"2","ADDIS","addis ababa","April","2017","38.793806","9.023748","13.49","11.49","12.875","13.745","35",NA,NA,"25.595",NA,NA,NA,NA,NA,NA
"3","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","P R I C E   I N    B I R R","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA",NA,NA,NA,NA,NA,NA
"4","ADDIS","addis ababa","April","2017","38.793806","9.023748","13.49","11.49","12.875","13.745","35",NA,NA,"25.595",NA,NA,NA,NA,NA,NA
"5","ADDIS","addis ababa","August","2016","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,"13.165","10","12","12.66",NA,"30.245"
"6","ADDIS","addis ababa","December","2016","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,"13.47","10.49","12","12.66","25","30.485"
"7","ADDIS","addis ababa","February","2017","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,"12.66","11","12.16","13",NA,"29.99"
"8","ADDIS","addis ababa","January","2017","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,"13.165","11","12.16","12.66","20","30.15"
"9","ADDIS","addis ababa","July","2016","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,"13.32","10","12.16","12.83",NA,"29.795"
"10","ADDIS","addis ababa","June","2017","38.793806","9.023748","14","13.25","13.745","14.62","37.5",NA,NA,"29.21",NA,NA,NA,NA,NA,NA
"11","ADDIS","addis ababa","March","2017","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,"13.33","10.5","12","13","25","24.78"
"12","ADDIS","addis ababa","May","2017","38.793806","9.023748","14","13.25","13.745","14.62","37.5",NA,NA,"29.21",NA,NA,NA,NA,NA,NA
"13","ADDIS","addis ababa","November","2016","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,"13.495","10","12","12.83","20","32.67"
"14","ADDIS","addis ababa","October","2016","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,"12.985","10.5","12.16","13",NA,"30.53"
"15","ADDIS","addis ababa","September","2016","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,"13.245","10.66","12.49","13.33","22.5","31.165"
"16","AMHARA","Chuahit","April","2017","39.311961","10.643157","-","9.37","-","-","-","-","-","15.15",NA,NA,NA,NA,NA,NA
"17","AMHARA","Gondar","April","2017","37.46149667","12.59878688","11.75","-","-","-","20.00","-","-","-",NA,NA,NA,NA,NA,NA
"18","AMHARA","Esete","April","2017","37.88657423","10.92298692","10.96","10.83","10.63","14.33","17.69","-","-","11.34",NA,NA,NA,NA,NA,NA
"19","AMHARA","Debre- Tabor ","April","2017","38.00833967","11.84769551","-","9.16","11.91","12.45","15.68","-","-","21.97",NA,NA,NA,NA,NA,NA
