"","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD_Bread Wheat (Bakery)","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat White","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Black (Red)","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (shelled) Aja","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (unshelled)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","CEREALS MILLED_Emmer Wheat(Aja)","01.2.1.1 COFFEE AND TEA_Malt-Wheat","P R I C E   I N    B I R R_Porridge 'bula' or wheat","CEREALS UNMILLED_Wheat White","CEREALS UNMILLED_Wheat Mixed","CEREALS UNMILLED_Wheat Black (Red)","BREAD AND OTHER PREPARED FOODS_Bread Wheat (Bakery)","P R I C E   I N    B I R R_Malt-Wheat"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","CEREALS MILLED","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA","P R I C E   I N    B I R R",NA,NA,NA,NA,NA
"2","ADDIS","addis ababa","April","2017","38.793806","9.023748","4.34","12",NA,"14",NA,"35",NA,NA,"40","23.96",NA,NA,NA,NA,NA,NA
"3","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","CEREALS MILLED","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA","P R I C E   I N    B I R R",NA,NA,NA,NA,NA
"4","ADDIS","addis ababa","April","2017","38.793806","9.023748","4.34","12",NA,"14",NA,"35",NA,NA,"40","23.96",NA,NA,NA,NA,NA,NA
"5","ADDIS","addis ababa","August","2016","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.49",NA,"14","4.57","29.19"
"6","ADDIS","addis ababa","December","2016","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.645",NA,"13.97","4.51","26.325"
"7","ADDIS","addis ababa","February","2017","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,"13.66","4.395","27.01"
"8","ADDIS","addis ababa","January","2017","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.985",NA,"13.495","4.54","29.95"
"9","ADDIS","addis ababa","July","2016","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.49",NA,"13.66","4.465","29.425"
"10","ADDIS","addis ababa","June","2017","38.793806","9.023748","4.62","12.245",NA,"14.245",NA,"34.495",NA,NA,"40.495","27.7","50",NA,NA,NA,NA,NA
"11","ADDIS","addis ababa","March","2017","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.16",NA,"13.485","4.575","24.48"
"12","ADDIS","addis ababa","May","2017","38.793806","9.023748","4.62","12.245",NA,"14.245",NA,"34.495",NA,NA,"40.495","27.7","50",NA,NA,NA,NA,NA
"13","ADDIS","addis ababa","November","2016","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.99",NA,"13.705","4.52","32.245"
"14","ADDIS","addis ababa","October","2016","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.33",NA,"14","4.475","29.575"
"15","ADDIS","addis ababa","September","2016","38.793806","9.023748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,"14","4.585","28.95"
"16","AMHARA","Chuahit","April","2017","39.311961","10.643157","4.42","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
