"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","P R I C E   I N    B I R R","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA"
"2","ADDIS","addis ababa","April","2018","38.793806","9.023748","18.245","17","17.745","18","35",NA,NA,"37.38"
"3","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","P R I C E   I N    B I R R","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA"
"4","ADDIS","addis ababa","April","2018","38.793806","9.023748","18.245","17","17.745","18","35",NA,NA,"37.38"
"5","ADDIS","addis ababa","August","2017","38.793806","9.023748","17","15","16.49","16",NA,NA,NA,"28.25"
"6","ADDIS","addis ababa","December","2017","38.793806","9.023748","20","18.22","19.49","20","27.5",NA,NA,"29.6"
"7","ADDIS","addis ababa","February","2018","38.793806","9.023748","18.97","17.985","18.245","18.5","30",NA,NA,"36.135"
"8","ADDIS","addis ababa","January","2018","38.793806","9.023748","18.97","18.485","19.23","20","30",NA,NA,"34.72"
"9","ADDIS","addis ababa","July","2017","38.793806","9.023748","15.745","15","15.745","15.245","40",NA,NA,"28.84"
"10","ADDIS","addis ababa","June","2018","38.793806","9.023748","18.97","17.985","18.245","18","40",NA,NA,"35.28"
"11","ADDIS","addis ababa","March","2018","38.793806","9.023748","18.19","17.73","17.745","16.97","37.5",NA,NA,"33.78"
"12","ADDIS","addis ababa","May","2018","38.793806","9.023748","18.965","18.5","18.44","18.49","30",NA,NA,"40.395"
"13","ADDIS","addis ababa","November","2017","38.793806","9.023748","19.49","20","19.245","19.5","40",NA,NA,"37.605"
"14","ADDIS","addis ababa","October","2017","38.793806","9.023748","18","18","18.745","18","35",NA,NA,"28.655"
"15","ADDIS","addis ababa","September","2017","38.793806","9.023748","18","17.49","17.49","17.49","37.5",NA,NA,"29.23"
"16","AMHARA","Chuahit","April","2018","39.311961","10.643157","-","12.00","-","-","-","-","-","-"
"17","AMHARA","Gondar","April","2018","37.46149667","12.59878688","14.00","-","-","-","26.98","-","-","-"
"18","AMHARA","Esete","April","2018","37.88657423","10.92298692","10.80","10.67","9.34","12.62","19.90","-","-","11.77"
"19","AMHARA","Debre- Tabor ","April","2018","38.00833967","11.84769551","-","13.45","13.50","12.20","23.76","-","-","20.14"
"20","AMHARA","Kobo","April","2018","39.63127424","12.16406542","13.38","-","-","-","-","-","-","22.35"
"21","AMHARA","Weldiya","April","2018","39.6014117","11.82360232","14.62","11.52","10.58","-","16.14","-","-","19.52"
"22","AMHARA","Kombolcha","April","2018","39.73724188","11.07807805","16.23","12.56","12.52","-","27.24","-","-","-"
"23","AMHARA","Dessie","April","2018","39.63548793","11.11703902","9.50","9.00","9.30","-","27.00","-","-","19.05"
"24","AMHARA","Shewa- Robit ","April","2018","39.90269733","10.00580856","13.62","-","13.88","15.11","-","-","-","15.43"
"25","AMHARA","Debre-¦","April","2018","39.52890047","9.67650294","11.00","10.50","-","14.00","-","-","-","-"
"26","AMHARA","Chuahit","August","2017","39.311961","10.643157","-","8.00","-","-","-","-","-","14.97"
"27","AMHARA","Gondar","August","2017","37.46149667","12.59878688","13.75","-","-","-","23.00","-","-","-"
"28","AMHARA","Esete","August","2017","37.88657423","10.92298692","13.94","14.19","11.49","13.84","20.16","-","-","14.71"
"29","AMHARA","Debre- Tabor ","August","2017","38.00833967","11.84769551","-","14.92","13.90","13.63","20.40","-","-","16.15"
"30","AMHARA","Kobo","August","2017","39.63127424","12.16406542","13.29","12.71","14.14","-","-","-","-","25.65"
"31","AMHARA","Weldiya","August","2017","39.6014117","11.82360232","13.61","9.52","10.20","-","19.05","-","-","20.25"
"32","AMHARA","Kombolcha","August","2017","39.73724188","11.07807805","11.49","9.00","8.50","-","29.31","-","-","-"
"33","AMHARA","Dessie","August","2017","39.63548793","11.11703902","8.00","8.87","-","7.00","-","-","-","17.91"
"34","AMHARA","Shewa- Robit ","August","2017","39.90269733","10.00580856","12.06","12.99","12.41","14.24","27.59","-","-","12.91"
"35","AMHARA","Debre-¦","August","2017","39.52890047","9.67650294","-","9.75","-","-","-","-","-","33.44"
"36","AMHARA","Chuahit","December","2017","39.311961","10.643157","-","8.00","-","-","-","-","-","18.10"
"37","AMHARA","Gondar","December","2017","37.46149667","12.59878688","14.00","-","-","-","24.00","-","-","20.00"
"38","AMHARA","Esete","December","2017","37.88657423","10.92298692","12.37","12.47","9.98","13.08","24.06","-","-","-"
"39","AMHARA","Debre- Tabor ","December","2017","38.00833967","11.84769551","-","9.16","13.25","14.22","-","-","-","19.97"
"40","AMHARA","Kobo","December","2017","39.63127424","12.16406542","12.51","11.27","-","-","-","-","-","18.21"
"41","AMHARA","Weldiya","December","2017","39.6014117","11.82360232","14.15","10.42","10.53","-","18.46","-","-","20.52"
"42","AMHARA","Kombolcha","December","2017","39.73724188","11.07807805","13.00","9.00","9.00","-","31.82","-","-","-"
"43","AMHARA","Dessie","December","2017","39.63548793","11.11703902","8.25","-","-","-","25.00","-","-","21.63"
"44","AMHARA","Shewa- Robit ","December","2017","39.90269733","10.00580856","13.50","-","12.12","15.30","-","-","-","-"
"45","AMHARA","Debre-¦","December","2017","39.52890047","9.67650294","11.49","10.00","12.00","14.00","-","-","-","22.04"
"46","AMHARA","Chuahit","February","2018","39.311961","10.643157","-","8.00","-","-","-","-","-","14.74"
