"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley","01.1.1.2 UNMILLED CEREALS/GRAINS_Hulled Barley (Temez)"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","P R I C E   I N    B I R R","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA",NA
"2","ADDIS","addis ababa","April","2019","38.793806","9.023748","20","17","18.22","19.5","35.5",NA,NA,"43.775",NA
"3","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","P R I C E   I N    B I R R","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA",NA
"4","ADDIS","addis ababa","April","2019","38.793806","9.023748","20","17","18.22","19.5","35.5",NA,NA,"43.775",NA
"5","ADDIS","addis ababa","August","2018","38.793806","9.023748","20","20","18.73","20","40",NA,NA,"40.57",NA
"6","ADDIS","addis ababa","December","2018","38.793806","9.023748","19.49","17","18.245","20","39",NA,NA,"45.67",NA
"7","ADDIS","addis ababa","February","2019","38.793806","9.023748","19.485","17.985","18.97","19.485","35",NA,NA,"43.495",NA
"8","ADDIS","addis ababa","January","2019","38.793806","9.023748","19.745","18.745","18.97","20","39",NA,NA,"41.775",NA
"9","ADDIS","addis ababa","July","2018","38.793806","9.023748","20","20","18","20","37.5",NA,NA,"39.025",NA
"10","ADDIS","addis ababa","March","2019","38.793806","9.023748","19.5","17","18.245","18.5","35",NA,NA,"40.67",NA
"11","ADDIS","addis ababa","May","2019","38.793806","9.023748","20","17.7","18.485","20","40",NA,NA,"45.46",NA
"12","ADDIS","addis ababa","November","2018","38.793806","9.023748","19.23","18","18.73","20","35",NA,NA,"36.26",NA
"13","ADDIS","addis ababa","October","2018","38.793806","9.023748","20","17.5","19.23","20","38.495",NA,NA,"48.78",NA
"14","ADDIS","addis ababa","September","2018","38.793806","9.023748","19.23","17.485","18.985","20","40",NA,NA,"50.16",NA
"15","AMHARA","Chuahit","April","2019","39.311961","10.643157","-","12.00","-","-","-","-","-","17.70",NA
"16","AMHARA","Gondar","April","2019","37.46149667","12.59878688","16.25","-","-","-","24.00","-","-","24.00",NA
"17","AMHARA","Esete","April","2019","37.88657423","10.92298692","13.86","14.18","11.54","13.20","19.65","-","-","-",NA
"18","AMHARA","Debre- Tabor ","April","2019","38.00833967","11.84769551","-","12.52","14.56","17.14","22.95","-","-","29.19",NA
"19","AMHARA","Kobo","April","2019","39.63127424","12.16406542","14.09","14.71","-","-","-","-","-","26.37",NA
"20","AMHARA","Weldiya","April","2019","39.6014117","11.82360232","20.62","13.97","13.79","-","18.60","-","-","24.40",NA
"21","AMHARA","Kombolcha","April","2019","39.73724188","11.07807805","19.30","12.83","-","-","-","-","-","-",NA
"22","AMHARA","Dessie","April","2019","39.63548793","11.11703902","17.44","14.13","13.58","-","30.46","-","-","19.80",NA
