"","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD_Bread Wheat (Bakery)","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat White","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Black (Red)","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (shelled) Aja","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (unshelled)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","CEREALS MILLED_Emmer Wheat(Aja)","01.2.1.1 COFFEE AND TEA_Malt-Wheat","P R I C E   I N    B I R R_Porridge 'bula' or wheat"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","CEREALS MILLED","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA","P R I C E   I N    B I R R"
"2","ADDIS","addis ababa","April","2019","38.793806","9.023748","5.88","20",NA,"23.745","27","31.2",NA,NA,"57.5","42.47",NA
"3","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","CEREALS MILLED","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA","P R I C E   I N    B I R R"
"4","ADDIS","addis ababa","April","2019","38.793806","9.023748","5.88","20",NA,"23.745","27","31.2",NA,NA,"57.5","42.47",NA
"5","ADDIS","addis ababa","August","2018","38.793806","9.023748","5.975","18.375",NA,"22.245",NA,"35",NA,NA,"54.77","40.32",NA
"6","ADDIS","addis ababa","December","2018","38.793806","9.023748","5.62","19.23",NA,"23",NA,"30","20",NA,"54.77","43.58","55"
"7","ADDIS","addis ababa","February","2019","38.793806","9.023748","5.425","18.97",NA,"23.735",NA,"35",NA,NA,"54.77","47.17",NA
"8","ADDIS","addis ababa","January","2019","38.793806","9.023748","5.085","19.49",NA,"23.745","29","32.5",NA,NA,"56.22","41.32",NA
"9","ADDIS","addis ababa","July","2018","38.793806","9.023748","5.92","18",NA,"20",NA,"35","18",NA,"51.96","38.2",NA
"10","ADDIS","addis ababa","March","2019","38.793806","9.023748","6.58","19.5",NA,"23.49",NA,"35","19",NA,"60","46.01","65"
