"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.hullb","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.allba"
"2","Addis","Addis Ababa","August",2014,38.793806,9.023748,11.83,10,10.66,12,NA,NA,NA,26.61,11.83
"4","Addis","Addis Ababa","August",2014,38.793806,9.023748,11.83,10,10.66,12,NA,NA,NA,26.61,11.83
"5","Addis","Addis Ababa","December",2014,38.793806,9.023748,12.23,11,12.32,12.49,NA,NA,NA,28.665,12.23
"6","Addis","Addis Ababa","February",2015,38.793806,9.023748,12.32,10.5,11.41,12.16,NA,NA,NA,26.86,12.32
"7","Addis","Addis Ababa","January",2015,38.793806,9.023748,12,10,12,12,30,NA,NA,27.385,12
"8","Addis","Addis Ababa","July",2014,38.793806,9.023748,12,10.16,11,12,18.97,NA,NA,22.4,12
"9","Addis","Addis Ababa","June",2015,38.793806,9.023748,13,10.16,12,12.745,20,NA,NA,30.83,13
"10","Addis","Addis Ababa","March",2015,38.793806,9.023748,12.16,10.32,11.33,12.32,NA,NA,NA,28,12.16
"11","Addis","Addis Ababa","May",2015,38.793806,9.023748,12.475,12,12,12.66,20,NA,NA,30.6,12.475
"12","Addis","Addis Ababa","November",2014,38.793806,9.023748,12.815,11.5,12.49,12.575,30,NA,NA,23.6,12.815
"13","Addis","Addis Ababa","October",2014,38.793806,9.023748,12.49,11.32,12,12.49,25.325,NA,NA,29.99,12.49
"15","Addis","Addis Ababa","September",2014,38.793806,9.023748,12,11.49,12,12.32,21.91,NA,NA,28.57,12
"16","Amhara","Chuahit","August",2014,39.311961,10.643157,NA,7.5,NA,NA,NA,NA,NA,12.12,7.5
"17","Amhara","Gondar","August",2014,37.46149667,12.59878688,11.33,NA,NA,NA,16,NA,NA,NA,11.33
"18","Amhara","Esete","August",2014,37.88657423,10.92298692,8.68,8.73,8.68,8.7,14.11,NA,NA,11.25,8.68
"19","Amhara","Debre- Tabor ","August",2014,38.00833967,11.84769551,NA,7.63,7.32,NA,13.16,NA,NA,13.68,7.32
"20","Amhara","Kobo","August",2014,39.63127424,12.16406542,9.49,9.11,NA,NA,NA,NA,NA,21.82,9.49
"21","Amhara","Weldiya","August",2014,39.6014117,11.82360232,11.12,9.26,8.66,NA,17.16,NA,NA,13.17,11.12
"22","Amhara","Kombolcha","August",2014,39.73724188,11.07807805,9.68,8.13,8.07,NA,NA,NA,NA,NA,9.68
"23","Amhara","Dessie","August",2014,39.63548793,11.11703902,9.12,8.35,NA,NA,NA,26,NA,17.16,9.12
"24","Amhara","Shewa- Robit ","August",2014,39.90269733,10.00580856,9.93,NA,10.19,NA,16.67,NA,NA,12.62,9.93
"25","Amhara","Debre-¦","August",2014,39.52890047,9.67650294,8.66,7.93,NA,10,11.43,NA,NA,22.57,8.66
"26","Amhara","Chuahit","December",2014,39.311961,10.643157,NA,6.5,NA,NA,NA,NA,NA,10.64,6.5
"27","Amhara","Gondar","December",2014,37.46149667,12.59878688,11.66,NA,NA,NA,14,NA,NA,NA,11.66
"28","Amhara","Esete","December",2014,37.88657423,10.92298692,7.65,7.88,6.93,10.14,16.49,NA,NA,10.54,7.65
"29","Amhara","Debre- Tabor ","December",2014,38.00833967,11.84769551,NA,9.12,9.14,11.2,15.05,NA,NA,13.89,9.14
"30","Amhara","Kobo","December",2014,39.63127424,12.16406542,9.02,8.28,NA,NA,NA,NA,NA,22.4,9.02
"31","Amhara","Weldiya","December",2014,39.6014117,11.82360232,10.83,9.24,8.45,NA,15.09,NA,NA,14.45,10.83
"32","Amhara","Kombolcha","December",2014,39.73724188,11.07807805,8.93,8.14,NA,NA,22.89,NA,NA,26.15,8.93
"33","Amhara","Dessie","December",2014,39.63548793,11.11703902,9.12,7.85,NA,NA,17.14,26,NA,14.76,9.12
"34","Amhara","Shewa- Robit ","December",2014,39.90269733,10.00580856,10.6,NA,9.86,12.44,NA,NA,NA,16.59,10.6
"35","Amhara","Debre-¦","December",2014,39.52890047,9.67650294,7.16,6.83,NA,NA,13.37,NA,NA,23.73,7.16
"36","Amhara","Chuahit","February",2015,39.311961,10.643157,NA,7,NA,NA,NA,NA,NA,11.86,7
"37","Amhara","Gondar","February",2015,37.46149667,12.59878688,11.66,NA,NA,NA,13.83,NA,NA,NA,11.66
"38","Amhara","Esete","February",2015,37.88657423,10.92298692,8.51,8.73,7.2,10.7,13.51,NA,NA,10.76,8.51
"39","Amhara","Debre- Tabor ","February",2015,38.00833967,11.84769551,NA,9.21,9.47,NA,12.82,NA,NA,11.64,9.47
"40","Amhara","Kobo","February",2015,39.63127424,12.16406542,9.53,8.83,NA,NA,NA,NA,NA,19.91,9.53
"41","Amhara","Weldiya","February",2015,39.6014117,11.82360232,10.83,8.92,8.5,NA,15.64,NA,NA,15.81,10.83
"42","Amhara","Kombolcha","February",2015,39.73724188,11.07807805,9.23,8.94,NA,NA,20.02,NA,NA,20,9.23
"43","Amhara","Dessie","February",2015,39.63548793,11.11703902,8.2,7.22,NA,NA,NA,26,NA,15.85,8.2
"44","Amhara","Shewa- Robit ","February",2015,39.90269733,10.00580856,10.38,9.02,9.13,10.43,22.56,NA,NA,13.23,10.38
"45","Amhara","Debre-¦","February",2015,39.52890047,9.67650294,7.81,6.33,NA,10,11.4,NA,NA,22.06,7.81
"46","Amhara","Chuahit","January",2015,39.311961,10.643157,NA,7,NA,NA,NA,NA,NA,13.64,7
"47","Amhara","Gondar","January",2015,37.46149667,12.59878688,11.33,NA,NA,NA,14.33,NA,NA,13,11.33
"48","Amhara","Esete","January",2015,37.88657423,10.92298692,7.48,7.61,6.18,9.68,16.25,NA,NA,10.57,7.48
"49","Amhara","Debre- Tabor ","January",2015,38.00833967,11.84769551,NA,8.87,10.02,NA,13.09,NA,NA,13.07,10.02
"50","Amhara","Kobo","January",2015,39.63127424,12.16406542,9.55,9.28,NA,NA,NA,NA,NA,22.91,9.55
"51","Amhara","Weldiya","January",2015,39.6014117,11.82360232,10.83,9.13,8.59,NA,16.14,NA,NA,18.92,10.83
"52","Amhara","Kombolcha","January",2015,39.73724188,11.07807805,9.48,9.12,NA,NA,14.24,NA,NA,24.28,9.48
"53","Amhara","Dessie","January",2015,39.63548793,11.11703902,8.37,7.73,NA,NA,NA,26,NA,16.15,8.37
"54","Amhara","Shewa- Robit ","January",2015,39.90269733,10.00580856,11.8,NA,10.92,11.14,21.53,NA,NA,13.35,11.8
"55","Amhara","Debre-¦","January",2015,39.52890047,9.67650294,7,6.5,NA,NA,11.46,NA,NA,23.54,7
"56","Amhara","Chuahit","July",2014,39.311961,10.643157,NA,7.5,NA,NA,NA,NA,NA,13.43,7.5
"57","Amhara","Gondar","July",2014,37.46149667,12.59878688,11,NA,NA,NA,16,NA,NA,14,11
"58","Amhara","Esete","July",2014,37.88657423,10.92298692,8.27,8.26,8.12,10.33,12.78,NA,NA,10.42,8.27
"59","Amhara","Debre- Tabor ","July",2014,38.00833967,11.84769551,NA,7.62,6.91,NA,11.76,NA,NA,10.91,6.91
"60","Amhara","Kobo","July",2014,39.63127424,12.16406542,8.41,NA,NA,NA,NA,NA,NA,15.99,8.41
"61","Amhara","Weldiya","July",2014,39.6014117,11.82360232,11.45,8.99,8.5,NA,16.79,NA,NA,14,11.45
"62","Amhara","Kombolcha","July",2014,39.73724188,11.07807805,10.05,9.26,9.03,NA,33.34,NA,NA,34.62,10.05
"63","Amhara","Dessie","July",2014,39.63548793,11.11703902,9.12,8.2,NA,NA,NA,26,NA,15.66,9.12
"64","Amhara","Shewa- Robit ","July",2014,39.90269733,10.00580856,11.4,NA,10.82,11.09,21.22,NA,NA,13.9,11.4
"65","Amhara","Debre-¦","July",2014,39.52890047,9.67650294,8.5,8,NA,8.5,12.34,NA,NA,23.73,8.5
"66","Amhara","Chuahit","June",2015,39.311961,10.643157,NA,7,NA,NA,NA,NA,NA,13.43,7
"67","Amhara","Gondar","June",2015,37.46149667,12.59878688,11.49,NA,NA,NA,15.33,NA,NA,NA,11.49
"68","Amhara","Esete","June",2015,37.88657423,10.92298692,8.57,8.61,8.11,12.48,15.23,NA,NA,11.56,8.57
"69","Amhara","Debre- Tabor ","June",2015,38.00833967,11.84769551,NA,11.22,11.35,16.64,13.12,NA,NA,11.92,11.35
"70","Amhara","Kobo","June",2015,39.63127424,12.16406542,13.32,NA,NA,NA,NA,NA,NA,24.23,13.32
"71","Amhara","Weldiya","June",2015,39.6014117,11.82360232,15.28,10.72,9,NA,16.53,NA,NA,16.67,15.28
"72","Amhara","Kombolcha","June",2015,39.73724188,11.07807805,12.96,9.38,8.82,NA,33.71,NA,NA,36.01,12.96
"73","Amhara","Dessie","June",2015,39.63548793,11.11703902,10.04,9.09,9.09,NA,NA,26,NA,15.95,10.04
"74","Amhara","Shewa- Robit ","June",2015,39.90269733,10.00580856,10.02,NA,10.49,12.4,23.53,NA,NA,11.12,10.02
"75","Amhara","Debre-¦","June",2015,39.52890047,9.67650294,8.83,7.16,NA,10.49,NA,NA,NA,23.03,8.83
"76","Amhara","Chuahit","March",2015,39.311961,10.643157,NA,7,NA,NA,NA,NA,NA,15.06,7
"77","Amhara","Gondar","March",2015,37.46149667,12.59878688,12,NA,NA,NA,14.16,NA,NA,NA,12
"78","Amhara","Esete","March",2015,37.88657423,10.92298692,9.69,10.11,8.67,9.58,13.69,NA,NA,11.41,9.69
"79","Amhara","Debre- Tabor ","March",2015,38.00833967,11.84769551,10.24,8.33,8.32,NA,13.02,NA,NA,11.66,10.24
"80","Amhara","Kobo","March",2015,39.63127424,12.16406542,11.73,NA,NA,NA,NA,NA,NA,27,11.73
"81","Amhara","Weldiya","March",2015,39.6014117,11.82360232,11.71,9,8.05,NA,17.04,NA,NA,15.16,11.71
"82","Amhara","Kombolcha","March",2015,39.73724188,11.07807805,8.85,8.06,NA,NA,22.24,NA,NA,21.02,8.85
"83","Amhara","Dessie","March",2015,39.63548793,11.11703902,8.76,7.62,NA,NA,20,26,NA,13.15,8.76
"84","Amhara","Shewa- Robit ","March",2015,39.90269733,10.00580856,10.67,NA,10.39,10.93,NA,NA,NA,12.52,10.67
"85","Amhara","Debre-¦","March",2015,39.52890047,9.67650294,7,6.5,NA,10,10.95,NA,NA,22.31,7
"86","Amhara","Chuahit","May",2015,39.311961,10.643157,NA,7,NA,NA,NA,NA,NA,13.18,7
"87","Amhara","Gondar","May",2015,37.46149667,12.59878688,11.16,NA,NA,NA,16.66,NA,NA,NA,11.16
"88","Amhara","Esete","May",2015,37.88657423,10.92298692,8.64,8.6,7.87,11.05,13.62,NA,NA,11.22,8.64
"89","Amhara","Debre- Tabor ","May",2015,38.00833967,11.84769551,NA,10.42,10.48,NA,13.15,NA,NA,14.04,10.48
"90","Amhara","Kobo","May",2015,39.63127424,12.16406542,12.24,NA,NA,NA,NA,NA,NA,NA,12.24
"91","Amhara","Weldiya","May",2015,39.6014117,11.82360232,15.14,9.41,8,NA,15.76,NA,NA,14.87,15.14
"92","Amhara","Kombolcha","May",2015,39.73724188,11.07807805,11.43,8.89,8.55,NA,34.9,NA,NA,22.8,11.43
"93","Amhara","Dessie","May",2015,39.63548793,11.11703902,10.54,9.46,NA,NA,NA,26,NA,15.63,10.54
"94","Amhara","Shewa- Robit ","May",2015,39.90269733,10.00580856,10.33,NA,9,12.39,34.37,NA,NA,12.67,10.33
"95","Amhara","Debre-¦","May",2015,39.52890047,9.67650294,7.5,6.5,NA,10,13.4,NA,NA,22.48,7.5
"96","Amhara","Chuahit","November",2014,39.311961,10.643157,NA,6,NA,NA,NA,NA,NA,10.6,6
"97","Amhara","Gondar","November",2014,37.46149667,12.59878688,10.83,NA,9,NA,15.66,NA,NA,NA,10.83
"98","Amhara","Esete","November",2014,37.88657423,10.92298692,8.72,8.75,6.79,8.76,16.46,NA,NA,9.92,8.72
"99","Amhara","Debre- Tabor ","November",2014,38.00833967,11.84769551,NA,9.14,9.21,13.24,14.64,NA,NA,13.03,9.21
