"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.temez","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.allba"
"2","Addis","Addis Ababa","April",2018,38.793806,9.023748,18.245,17,17.745,18,35,NA,NA,37.38,18.245
"4","Addis","Addis Ababa","April",2018,38.793806,9.023748,18.245,17,17.745,18,35,NA,NA,37.38,18.245
"5","Addis","Addis Ababa","August",2017,38.793806,9.023748,17,15,16.49,16,NA,NA,NA,28.25,17
"6","Addis","Addis Ababa","December",2017,38.793806,9.023748,20,18.22,19.49,20,27.5,NA,NA,29.6,20
"7","Addis","Addis Ababa","February",2018,38.793806,9.023748,18.97,17.985,18.245,18.5,30,NA,NA,36.135,18.97
"8","Addis","Addis Ababa","January",2018,38.793806,9.023748,18.97,18.485,19.23,20,30,NA,NA,34.72,18.97
"9","Addis","Addis Ababa","July",2017,38.793806,9.023748,15.745,15,15.745,15.245,40,NA,NA,28.84,15.745
"10","Addis","Addis Ababa","June",2018,38.793806,9.023748,18.97,17.985,18.245,18,40,NA,NA,35.28,18.97
"11","Addis","Addis Ababa","March",2018,38.793806,9.023748,18.19,17.73,17.745,16.97,37.5,NA,NA,33.78,18.19
"12","Addis","Addis Ababa","May",2018,38.793806,9.023748,18.965,18.5,18.44,18.49,30,NA,NA,40.395,18.965
"13","Addis","Addis Ababa","November",2017,38.793806,9.023748,19.49,20,19.245,19.5,40,NA,NA,37.605,19.49
"14","Addis","Addis Ababa","October",2017,38.793806,9.023748,18,18,18.745,18,35,NA,NA,28.655,18
"15","Addis","Addis Ababa","September",2017,38.793806,9.023748,18,17.49,17.49,17.49,37.5,NA,NA,29.23,18
"16","Amhara","Chuahit","April",2018,39.311961,10.643157,NA,12,NA,NA,NA,NA,NA,NA,12
"17","Amhara","Gondar","April",2018,37.46149667,12.59878688,14,NA,NA,NA,26.98,NA,NA,NA,14
"18","Amhara","Esete","April",2018,37.88657423,10.92298692,10.8,10.67,9.34,12.62,19.9,NA,NA,11.77,10.8
"19","Amhara","Debre- Tabor ","April",2018,38.00833967,11.84769551,NA,13.45,13.5,12.2,23.76,NA,NA,20.14,13.45
"20","Amhara","Kobo","April",2018,39.63127424,12.16406542,13.38,NA,NA,NA,NA,NA,NA,22.35,13.38
"21","Amhara","Weldiya","April",2018,39.6014117,11.82360232,14.62,11.52,10.58,NA,16.14,NA,NA,19.52,14.62
"22","Amhara","Kombolcha","April",2018,39.73724188,11.07807805,16.23,12.56,12.52,NA,27.24,NA,NA,NA,16.23
"23","Amhara","Dessie","April",2018,39.63548793,11.11703902,9.5,9,9.3,NA,27,NA,NA,19.05,9.5
"24","Amhara","Shewa- Robit ","April",2018,39.90269733,10.00580856,13.62,NA,13.88,15.11,NA,NA,NA,15.43,13.62
"25","Amhara","Debre-¦","April",2018,39.52890047,9.67650294,11,10.5,NA,14,NA,NA,NA,NA,11
"26","Amhara","Chuahit","August",2017,39.311961,10.643157,NA,8,NA,NA,NA,NA,NA,14.97,8
"27","Amhara","Gondar","August",2017,37.46149667,12.59878688,13.75,NA,NA,NA,23,NA,NA,NA,13.75
"28","Amhara","Esete","August",2017,37.88657423,10.92298692,13.94,14.19,11.49,13.84,20.16,NA,NA,14.71,13.94
"29","Amhara","Debre- Tabor ","August",2017,38.00833967,11.84769551,NA,14.92,13.9,13.63,20.4,NA,NA,16.15,14.92
"30","Amhara","Kobo","August",2017,39.63127424,12.16406542,13.29,12.71,14.14,NA,NA,NA,NA,25.65,13.29
"31","Amhara","Weldiya","August",2017,39.6014117,11.82360232,13.61,9.52,10.2,NA,19.05,NA,NA,20.25,13.61
"32","Amhara","Kombolcha","August",2017,39.73724188,11.07807805,11.49,9,8.5,NA,29.31,NA,NA,NA,11.49
"33","Amhara","Dessie","August",2017,39.63548793,11.11703902,8,8.87,NA,7,NA,NA,NA,17.91,8
"34","Amhara","Shewa- Robit ","August",2017,39.90269733,10.00580856,12.06,12.99,12.41,14.24,27.59,NA,NA,12.91,12.06
"35","Amhara","Debre-¦","August",2017,39.52890047,9.67650294,NA,9.75,NA,NA,NA,NA,NA,33.44,9.75
"36","Amhara","Chuahit","December",2017,39.311961,10.643157,NA,8,NA,NA,NA,NA,NA,18.1,8
"37","Amhara","Gondar","December",2017,37.46149667,12.59878688,14,NA,NA,NA,24,NA,NA,20,14
"38","Amhara","Esete","December",2017,37.88657423,10.92298692,12.37,12.47,9.98,13.08,24.06,NA,NA,NA,12.37
"39","Amhara","Debre- Tabor ","December",2017,38.00833967,11.84769551,NA,9.16,13.25,14.22,NA,NA,NA,19.97,9.16
"40","Amhara","Kobo","December",2017,39.63127424,12.16406542,12.51,11.27,NA,NA,NA,NA,NA,18.21,12.51
"41","Amhara","Weldiya","December",2017,39.6014117,11.82360232,14.15,10.42,10.53,NA,18.46,NA,NA,20.52,14.15
"42","Amhara","Kombolcha","December",2017,39.73724188,11.07807805,13,9,9,NA,31.82,NA,NA,NA,13
