"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.temez","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.hullb","pkg.bar.allba"
"2","Addis","Addis Ababa","April",2019,38.793806,9.023748,20,17,18.22,19.5,35.5,NA,NA,43.775,NA,20
"4","Addis","Addis Ababa","April",2019,38.793806,9.023748,20,17,18.22,19.5,35.5,NA,NA,43.775,NA,20
"5","Addis","Addis Ababa","August",2018,38.793806,9.023748,20,20,18.73,20,40,NA,NA,40.57,NA,20
"6","Addis","Addis Ababa","December",2018,38.793806,9.023748,19.49,17,18.245,20,39,NA,NA,45.67,NA,19.49
"7","Addis","Addis Ababa","February",2019,38.793806,9.023748,19.485,17.985,18.97,19.485,35,NA,NA,43.495,NA,19.485
"8","Addis","Addis Ababa","January",2019,38.793806,9.023748,19.745,18.745,18.97,20,39,NA,NA,41.775,NA,19.745
"9","Addis","Addis Ababa","July",2018,38.793806,9.023748,20,20,18,20,37.5,NA,NA,39.025,NA,20
"10","Addis","Addis Ababa","March",2019,38.793806,9.023748,19.5,17,18.245,18.5,35,NA,NA,40.67,NA,19.5
"11","Addis","Addis Ababa","May",2019,38.793806,9.023748,20,17.7,18.485,20,40,NA,NA,45.46,NA,20
"12","Addis","Addis Ababa","November",2018,38.793806,9.023748,19.23,18,18.73,20,35,NA,NA,36.26,NA,19.23
"13","Addis","Addis Ababa","October",2018,38.793806,9.023748,20,17.5,19.23,20,38.495,NA,NA,48.78,NA,20
"14","Addis","Addis Ababa","September",2018,38.793806,9.023748,19.23,17.485,18.985,20,40,NA,NA,50.16,NA,19.23
"15","Amhara","Chuahit","April",2019,39.311961,10.643157,NA,12,NA,NA,NA,NA,NA,17.7,NA,12
"16","Amhara","Gondar","April",2019,37.46149667,12.59878688,16.25,NA,NA,NA,24,NA,NA,24,NA,16.25
"17","Amhara","Esete","April",2019,37.88657423,10.92298692,13.86,14.18,11.54,13.2,19.65,NA,NA,NA,NA,13.86
"18","Amhara","Debre- Tabor ","April",2019,38.00833967,11.84769551,NA,12.52,14.56,17.14,22.95,NA,NA,29.19,NA,12.52
"19","Amhara","Kobo","April",2019,39.63127424,12.16406542,14.09,14.71,NA,NA,NA,NA,NA,26.37,NA,14.09
"20","Amhara","Weldiya","April",2019,39.6014117,11.82360232,20.62,13.97,13.79,NA,18.6,NA,NA,24.4,NA,20.62
"21","Amhara","Kombolcha","April",2019,39.73724188,11.07807805,19.3,12.83,NA,NA,NA,NA,NA,NA,NA,19.3
"22","Amhara","Dessie","April",2019,39.63548793,11.11703902,17.44,14.13,13.58,NA,30.46,NA,NA,19.8,NA,17.44
"23","Amhara","Shewa- Robit ","April",2019,39.90269733,10.00580856,15.09,NA,15.29,17.78,NA,NA,NA,17.41,NA,15.09
"24","Amhara","Debre-¦","April",2019,39.52890047,9.67650294,13,12,NA,15,20.36,NA,NA,34.72,NA,13
"25","Amhara","Chuahit","August",2018,39.311961,10.643157,NA,12,NA,NA,NA,NA,NA,20.41,NA,12
"26","Amhara","Gondar","August",2018,37.46149667,12.59878688,16.25,NA,NA,NA,30,NA,NA,NA,NA,16.25
"27","Amhara","Esete","August",2018,37.88657423,10.92298692,14.05,14.14,11.38,13.56,20.54,NA,NA,NA,NA,14.05
"28","Amhara","Debre- Tabor ","August",2018,38.00833967,11.84769551,NA,11.54,14.09,13.29,23.35,NA,NA,22.15,NA,11.54
"29","Amhara","Kobo","August",2018,39.63127424,12.16406542,15.13,NA,NA,NA,NA,NA,NA,31.55,NA,15.13
"30","Amhara","Weldiya","August",2018,39.6014117,11.82360232,14.62,12.87,12.29,NA,18.46,NA,NA,21.76,NA,14.62
