"","Region","Market","Month","Year","Longitude","Latitude","pkg.mai.maize","pkg.mai.millm"
"2","Addis","Addis Ababa","August",2017,38.793806,9.023748,10.72,12
"4","Addis","Addis Ababa","February",2018,38.793806,9.023748,10.72,15
"5","Addis","Addis Ababa","January",2018,38.793806,9.023748,10.945,13.5
"6","Addis","Addis Ababa","July",2017,38.793806,9.023748,10,NA
"7","Addis","Addis Ababa","June",2018,38.793806,9.023748,11,14.49
"8","Addis","Addis Ababa","March",2018,38.793806,9.023748,11.455,15
"9","Addis","Addis Ababa","May",2018,38.793806,9.023748,10.945,14
"10","Addis","Addis Ababa","November",2017,38.793806,9.023748,13.245,14
"11","Addis","Addis Ababa","October",2017,38.793806,9.023748,12.49,14
"12","Addis","Addis Ababa","September",2017,38.793806,9.023748,12.49,14
"13","Amhara","Chuahit","April",2018,39.311961,10.643157,7,NA
"14","Amhara","Gondar","April",2018,37.46149667,12.59878688,9,NA
"15","Amhara","Esete","April",2018,37.88657423,10.92298692,9.63,NA
"16","Amhara","Debre- Tabor ","April",2018,38.00833967,11.84769551,8.35,NA
"17","Amhara","Kobo","April",2018,39.63127424,12.16406542,6.7,NA
"18","Amhara","Weldiya","April",2018,39.6014117,11.82360232,9.81,NA
"19","Amhara","Kombolcha","April",2018,39.73724188,11.07807805,9.81,NA
"20","Amhara","Dessie","April",2018,39.63548793,11.11703902,7.2,NA
"21","Amhara","Shewa- Robit ","April",2018,39.90269733,10.00580856,8.66,NA
"22","Amhara","Debre-¦","April",2018,39.52890047,9.67650294,7.5,NA
"23","Amhara","Chuahit","August",2017,39.311961,10.643157,8,NA
"24","Amhara","Gondar","August",2017,37.46149667,12.59878688,9,NA
"25","Amhara","Esete","August",2017,37.88657423,10.92298692,9.65,NA
"26","Amhara","Debre- Tabor ","August",2017,38.00833967,11.84769551,10.22,NA
"27","Amhara","Kobo","August",2017,39.63127424,12.16406542,8.1,NA
"28","Amhara","Weldiya","August",2017,39.6014117,11.82360232,9.83,NA
"29","Amhara","Kombolcha","August",2017,39.73724188,11.07807805,8.5,NA
"30","Amhara","Dessie","August",2017,39.63548793,11.11703902,NA,NA
"31","Amhara","Shewa- Robit ","August",2017,39.90269733,10.00580856,9.75,NA
"32","Amhara","Debre-¦","August",2017,39.52890047,9.67650294,9,NA
"33","Amhara","Chuahit","December",2017,39.311961,10.643157,5.5,NA
"34","Amhara","Gondar","December",2017,37.46149667,12.59878688,7,NA
"35","Amhara","Esete","December",2017,37.88657423,10.92298692,8.33,NA
"36","Amhara","Debre- Tabor ","December",2017,38.00833967,11.84769551,9.69,NA
"37","Amhara","Kobo","December",2017,39.63127424,12.16406542,6.45,NA
"38","Amhara","Weldiya","December",2017,39.6014117,11.82360232,9.79,NA
"39","Amhara","Kombolcha","December",2017,39.73724188,11.07807805,5.5,NA
"40","Amhara","Dessie","December",2017,39.63548793,11.11703902,8,NA
"41","Amhara","Shewa- Robit ","December",2017,39.90269733,10.00580856,7.52,NA
"42","Amhara","Debre-¦","December",2017,39.52890047,9.67650294,7.25,NA
"43","Amhara","Chuahit","February",2018,39.311961,10.643157,6.5,NA
"44","Amhara","Gondar","February",2018,37.46149667,12.59878688,7.5,NA
"45","Amhara","Esete","February",2018,37.88657423,10.92298692,8.43,NA
"46","Amhara","Debre- Tabor ","February",2018,38.00833967,11.84769551,7.49,NA
"47","Amhara","Kobo","February",2018,39.63127424,12.16406542,6.76,NA
"48","Amhara","Weldiya","February",2018,39.6014117,11.82360232,9.84,NA
"49","Amhara","Kombolcha","February",2018,39.73724188,11.07807805,6.85,NA
"50","Amhara","Dessie","February",2018,39.63548793,11.11703902,8,NA
"51","Amhara","Shewa- Robit ","February",2018,39.90269733,10.00580856,7.28,NA
"52","Amhara","Debre-¦","February",2018,39.52890047,9.67650294,7.5,NA
"53","Amhara","Chuahit","January",2018,39.311961,10.643157,6.24,NA
"54","Amhara","Gondar","January",2018,37.46149667,12.59878688,7.5,NA
"55","Amhara","Esete","January",2018,37.88657423,10.92298692,8.22,NA
"56","Amhara","Debre- Tabor ","January",2018,38.00833967,11.84769551,7.45,NA
"57","Amhara","Kobo","January",2018,39.63127424,12.16406542,6.55,NA
"58","Amhara","Weldiya","January",2018,39.6014117,11.82360232,9.83,NA
"59","Amhara","Kombolcha","January",2018,39.73724188,11.07807805,6.24,NA
"60","Amhara","Dessie","January",2018,39.63548793,11.11703902,8.25,NA
