"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.millw","pkg.wht.millm","pkg.wht.bread","pkg.wht.maltw"
"2","Addis","Addis Ababa","August",2014,38.793806,9.023748,11.915,NA,12,NA,NA,4.35,24.8
"4","Addis","Addis Ababa","August",2014,38.793806,9.023748,11.915,NA,12,NA,NA,4.35,24.8
"5","Addis","Addis Ababa","December",2014,38.793806,9.023748,12.16,NA,13.745,14.6,NA,4.305,23.555
"6","Addis","Addis Ababa","February",2015,38.793806,9.023748,12,9,14,NA,NA,4.24,22.925
"7","Addis","Addis Ababa","January",2015,38.793806,9.023748,12.365,12,13.83,NA,NA,4.225,24.26
"8","Addis","Addis Ababa","July",2014,38.793806,9.023748,11.66,NA,12.24,NA,NA,4.25,22.14
"9","Addis","Addis Ababa","June",2015,38.793806,9.023748,12.32,NA,14,NA,NA,4.4,28.415
"10","Addis","Addis Ababa","March",2015,38.793806,9.023748,11.915,10.5,14,NA,NA,4.29,21.605
"11","Addis","Addis Ababa","May",2015,38.793806,9.023748,12,NA,13.83,NA,NA,4.325,25.925
"12","Addis","Addis Ababa","November",2014,38.793806,9.023748,12.08,NA,13.075,NA,NA,4.425,24.955
"13","Addis","Addis Ababa","October",2014,38.793806,9.023748,12,NA,12.985,NA,NA,4.275,27.64
"14","Addis","Addis Ababa","October.doc",NA,38.793806,9.023748,12,NA,13.99,NA,NA,4.285,24.75
"15","Addis","Addis Ababa","September",2014,38.793806,9.023748,12,NA,12.985,NA,NA,4.2,28.39
"16","Amhara","Chuahit","August",2014,39.311961,10.643157,10,NA,NA,NA,NA,4.43,NA
"17","Amhara","Gondar","August",2014,37.46149667,12.59878688,11,NA,9,NA,NA,4.53,15
"18","Amhara","Esete","August",2014,37.88657423,10.92298692,9.07,NA,7.43,NA,NA,4.12,12.28
"19","Amhara","Debre- Tabor ","August",2014,38.00833967,11.84769551,11.7,NA,8.44,NA,NA,5.22,15.87
"20","Amhara","Kobo","August",2014,39.63127424,12.16406542,9.74,NA,11.39,NA,NA,4.53,NA
"21","Amhara","Weldiya","August",2014,39.6014117,11.82360232,10.9,NA,10.98,NA,NA,3.83,14.52
"22","Amhara","Kombolcha","August",2014,39.73724188,11.07807805,9.02,NA,11.27,NA,NA,4.13,NA
"23","Amhara","Dessie","August",2014,39.63548793,11.11703902,9.39,8.77,10.47,16,NA,3.85,NA
"24","Amhara","Shewa- Robit ","August",2014,39.90269733,10.00580856,10.95,NA,NA,NA,NA,5.34,NA
"25","Amhara","Debre-¦","August",2014,39.52890047,9.67650294,10,9.43,NA,NA,NA,5.41,NA
"26","Amhara","Chuahit","December",2014,39.311961,10.643157,10,NA,NA,NA,NA,4.41,NA
"27","Amhara","Gondar","December",2014,37.46149667,12.59878688,10.33,NA,NA,NA,NA,4.53,15
