"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.bread","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.shaja","pkg.wht.unshe","pkg.wht.millw","pkg.wht.millm","pkg.wht.milla","pkg.wht.maltw","pkg.wht.pbula","pkg.wht.allwh"
"2","ADDIS","addis ababa","April",2018,38.793806,9.023748,4.53,15.49,NA,20,NA,33.47,NA,NA,49.495,35.12,NA,15.49
"4","ADDIS","addis ababa","April",2018,38.793806,9.023748,4.53,15.49,NA,20,NA,33.47,NA,NA,49.495,35.12,NA,15.49
"5","ADDIS","addis ababa","August",2017,38.793806,9.023748,4.58,13,NA,14.49,NA,37.42,13,NA,45.99,26.26,NA,13
"6","ADDIS","addis ababa","December",2017,38.793806,9.023748,4.595,13.98,NA,18,NA,34.82,14,NA,50,29.6,50,13.98
"7","ADDIS","addis ababa","February",2018,38.793806,9.023748,4.465,13.745,NA,21.99,NA,35,14,NA,48.715,29.57,NA,13.745
"8","ADDIS","addis ababa","January",2018,38.793806,9.023748,4.515,14,NA,21,NA,34.495,14,NA,45.25,29.36,NA,14
"9","ADDIS","addis ababa","July",2017,38.793806,9.023748,4.46,13,NA,14.245,NA,36.47,NA,NA,43.575,28.17,NA,13
"10","ADDIS","addis ababa","June",2018,38.793806,9.023748,5.355,17.49,NA,20,NA,35,NA,NA,50.98,36.68,50,17.49
"11","ADDIS","addis ababa","March",2018,38.793806,9.023748,4.59,14.49,NA,20.98,NA,35,12.96,NA,49.495,30.185,50,14.49
"12","ADDIS","addis ababa","May",2018,38.793806,9.023748,5.065,16.245,NA,19.745,NA,32.4,NA,NA,51.96,36.33,NA,16.245
"13","ADDIS","addis ababa","November",2017,38.793806,9.023748,4.55,13.96,NA,15.49,NA,36.945,14,NA,50,26.04,NA,13.96
"14","ADDIS","addis ababa","October",2017,38.793806,9.023748,4.51,13.245,NA,15,NA,35,14,NA,45,29.54,NA,13.245
"15","ADDIS","addis ababa","September",2017,38.793806,9.023748,4.565,13.725,NA,14.985,NA,34.495,14,NA,45.25,30.45,50,13.725
"16","AMHARA","Chuahit","April",2018,39.311961,10.643157,5.25,NA,NA,NA,NA,NA,NA,NA,NA,17.72,NA,NA
"17","AMHARA","Gondar","April",2018,37.46149667,12.59878688,5.53,14,NA,13,NA,33.99,NA,NA,45,22,NA,14
"18","AMHARA","Esete","April",2018,37.88657423,10.92298692,5.21,11.1,NA,NA,NA,36,NA,NA,40,13.5,NA,11.1
"19","AMHARA","Debre- Tabor ","April",2018,38.00833967,11.84769551,4.62,16.18,NA,9.54,NA,34.5,NA,NA,39.95,NA,NA,16.18
"20","AMHARA","Kobo","April",2018,39.63127424,12.16406542,5.91,12.27,NA,13.89,NA,NA,NA,NA,NA,NA,NA,12.27
"21","AMHARA","Weldiya","April",2018,39.6014117,11.82360232,5.25,12.06,NA,15.49,NA,40,NA,NA,NA,24.4,NA,12.06
"22","AMHARA","Kombolcha","April",2018,39.73724188,11.07807805,4.75,11.38,NA,NA,16.17,38,NA,NA,NA,NA,NA,11.38
"23","AMHARA","Dessie","April",2018,39.63548793,11.11703902,4.38,11,NA,10,11.5,40,NA,NA,NA,34.05,NA,11
"24","AMHARA","Shewa- Robit ","April",2018,39.90269733,10.00580856,5.91,13.44,NA,15.63,NA,NA,NA,NA,NA,NA,NA,13.44
"25","AMHARA","Debre-¦","April",2018,39.52890047,9.67650294,NA,12,NA,NA,NA,40,NA,NA,32,32.05,NA,12
"26","AMHARA","Chuahit","August",2017,39.311961,10.643157,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","AMHARA","Gondar","August",2017,37.46149667,12.59878688,4.38,12,NA,11,NA,35,NA,NA,38,16,NA,12
"28","AMHARA","Esete","August",2017,37.88657423,10.92298692,4.76,10.93,NA,10.42,NA,36,NA,NA,40,15.12,NA,10.93
"29","AMHARA","Debre- Tabor ","August",2017,38.00833967,11.84769551,4.57,11.98,NA,13.19,NA,34,NA,NA,38,18.06,NA,11.98
"30","AMHARA","Kobo","August",2017,39.63127424,12.16406542,4.13,11.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.04
"31","AMHARA","Weldiya","August",2017,39.6014117,11.82360232,4.38,11.11,NA,11.91,NA,46,NA,NA,NA,24.4,NA,11.11
"32","AMHARA","Kombolcha","August",2017,39.73724188,11.07807805,4.36,9,NA,11.36,20.03,40,NA,NA,NA,NA,NA,9
"33","AMHARA","Dessie","August",2017,39.63548793,11.11703902,4.55,8.5,NA,8,13,32.5,NA,NA,NA,20.41,NA,8.5
"34","AMHARA","Shewa- Robit ","August",2017,39.90269733,10.00580856,4.87,11.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.93
